KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
542121,MutÏjovice,648,336,336,"7,73 %","0,59 %","0,00 %","9,52 %","0,00 %","5,65 %","11,90 %","1,78 %","1,19 %","0,59 %","0,00 %","0,00 %","10,71 %","0,00 %","0,00 %","2,97 %","35,11 %","0,00 %","0,29 %","2,08 %","0,29 %","0,29 %","0,29 %","0,00 %","8,92 %","0,00 %"
542130,NesuchynÏ,324,186,186,"8,06 %","0,00 %","0,00 %","13,97 %","0,00 %","6,98 %","10,75 %","0,53 %","1,07 %","0,00 %","0,00 %","0,00 %","9,67 %","0,00 %","0,00 %","5,91 %","26,88 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","15,59 %","0,53 %"
598585,Nezabudice,69,48,50,"18,00 %","0,00 %","0,00 %","4,00 %","0,00 %","4,00 %","20,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","16,00 %","0,00 %","0,00 %","12,00 %","24,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,00 %","0,00 %"
542164,NovÈ StraöecÌ,4 316,2 696,2 675,"10,80 %","0,03 %","0,11 %","12,44 %","0,03 %","5,60 %","8,41 %","1,86 %","0,85 %","1,08 %","0,11 %","0,18 %","13,08 %","0,00 %","0,07 %","6,28 %","25,38 %","0,14 %","0,26 %","3,32 %","0,07 %","0,52 %","0,14 %","0,07 %","8,82 %","0,22 %"
542181,Nov˝ D˘m,121,85,84,"7,14 %","0,00 %","0,00 %","7,14 %","0,00 %","3,57 %","9,52 %","0,00 %","2,38 %","1,19 %","0,00 %","0,00 %","11,90 %","0,00 %","1,19 %","5,95 %","35,71 %","0,00 %","0,00 %","3,57 %","0,00 %","0,00 %","0,00 %","1,19 %","9,52 %","0,00 %"
542199,Oleön·,480,329,327,"21,10 %","0,00 %","0,00 %","7,64 %","0,00 %","3,97 %","6,11 %","0,91 %","0,00 %","2,75 %","0,30 %","0,00 %","7,33 %","0,00 %","0,00 %","2,44 %","31,19 %","0,00 %","0,91 %","2,14 %","0,61 %","0,61 %","0,00 %","0,30 %","11,31 %","0,30 %"
542202,Or·Ëov,435,319,315,"5,71 %","0,00 %","0,00 %","6,03 %","0,00 %","2,53 %","10,79 %","1,58 %","0,31 %","0,31 %","0,63 %","0,31 %","7,61 %","0,00 %","0,63 %","2,53 %","46,66 %","0,00 %","0,31 %","1,58 %","0,31 %","0,63 %","1,26 %","1,26 %","8,25 %","0,63 %"
542211,PanoöÌ ⁄jezd,235,160,159,"15,09 %","0,00 %","0,00 %","10,06 %","0,00 %","4,40 %","11,32 %","1,25 %","0,62 %","0,62 %","0,00 %","0,00 %","6,91 %","0,00 %","0,00 %","2,51 %","28,30 %","0,00 %","0,00 %","5,03 %","0,00 %","0,00 %","1,25 %","0,00 %","11,94 %","0,62 %"
544248,PavlÌkov,863,545,543,"6,99 %","0,55 %","0,00 %","7,91 %","0,18 %","7,91 %","12,52 %","1,47 %","0,73 %","1,65 %","0,00 %","0,00 %","9,76 %","0,00 %","0,18 %","2,20 %","36,09 %","0,18 %","0,00 %","1,10 %","0,00 %","0,55 %","0,18 %","0,36 %","9,20 %","0,18 %"
542229,Petrovice,234,136,136,"8,08 %","0,00 %","0,00 %","5,88 %","0,00 %","2,94 %","9,55 %","0,73 %","0,00 %","0,73 %","0,00 %","0,00 %","8,08 %","0,00 %","0,00 %","2,20 %","38,23 %","0,00 %","0,00 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","20,58 %","0,00 %"
