KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
565423,BdÌn,51,34,34,"2,94 %","0,00 %","0,00 %","20,58 %","0,00 %","2,94 %","2,94 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","8,82 %","0,00 %","0,00 %","2,94 %","44,11 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,76 %","0,00 %"
541672,Branov,170,120,119,"8,40 %","0,84 %","0,00 %","11,76 %","0,00 %","0,00 %","19,32 %","0,00 %","0,84 %","0,84 %","0,00 %","0,00 %","10,92 %","0,00 %","0,00 %","1,68 %","33,61 %","0,00 %","0,00 %","4,20 %","0,00 %","0,84 %","0,00 %","0,00 %","5,88 %","0,84 %"
565041,B¯eûany,106,71,69,"8,69 %","0,00 %","0,00 %","5,79 %","1,44 %","5,79 %","17,39 %","0,00 %","1,44 %","1,44 %","0,00 %","0,00 %","13,04 %","0,00 %","0,00 %","2,89 %","28,98 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,89 %","0,00 %","8,69 %","1,44 %"
541699,»ist·,724,388,387,"10,85 %","0,00 %","0,00 %","8,52 %","0,00 %","6,71 %","17,31 %","1,29 %","1,80 %","0,77 %","0,00 %","0,00 %","7,75 %","0,00 %","0,00 %","2,32 %","29,45 %","0,00 %","0,00 %","4,65 %","0,00 %","0,00 %","0,25 %","0,00 %","7,49 %","0,77 %"
565181,DÏkov,160,63,63,"11,11 %","3,17 %","0,00 %","11,11 %","0,00 %","7,93 %","22,22 %","3,17 %","0,00 %","0,00 %","0,00 %","1,58 %","4,76 %","0,00 %","0,00 %","4,76 %","15,87 %","0,00 %","0,00 %","3,17 %","0,00 %","0,00 %","1,58 %","0,00 %","9,52 %","0,00 %"
529711,Drahouö,64,41,41,"4,87 %","0,00 %","0,00 %","2,43 %","0,00 %","19,51 %","17,07 %","0,00 %","0,00 %","0,00 %","2,43 %","0,00 %","4,87 %","0,00 %","0,00 %","0,00 %","41,46 %","0,00 %","0,00 %","2,43 %","0,00 %","0,00 %","0,00 %","0,00 %","4,87 %","0,00 %"
541729,Ho¯esedly,331,183,183,"5,46 %","0,00 %","0,00 %","7,65 %","0,00 %","4,91 %","21,85 %","2,18 %","0,54 %","2,73 %","0,00 %","0,00 %","3,82 %","0,00 %","0,00 %","1,09 %","34,42 %","0,00 %","0,54 %","1,09 %","0,00 %","0,00 %","0,00 %","0,00 %","12,02 %","1,63 %"
541737,Ho¯oviËky,385,170,168,"5,35 %","1,19 %","0,00 %","11,90 %","0,00 %","1,19 %","11,90 %","0,00 %","1,78 %","0,00 %","0,00 %","0,59 %","4,16 %","0,00 %","1,78 %","1,78 %","45,83 %","0,00 %","0,59 %","0,59 %","0,00 %","0,59 %","1,19 %","0,00 %","9,52 %","0,00 %"
565202,Hracholusky,66,49,49,"10,20 %","0,00 %","0,00 %","4,08 %","0,00 %","8,16 %","10,20 %","4,08 %","0,00 %","0,00 %","0,00 %","0,00 %","22,44 %","0,00 %","0,00 %","4,08 %","24,48 %","0,00 %","0,00 %","2,04 %","0,00 %","0,00 %","0,00 %","0,00 %","10,20 %","0,00 %"
541761,H¯ebeËnÌky,220,153,152,"11,84 %","0,00 %","0,00 %","3,94 %","0,65 %","7,89 %","19,73 %","1,31 %","0,65 %","1,31 %","0,00 %","0,00 %","3,94 %","0,00 %","0,65 %","3,94 %","36,18 %","0,00 %","0,00 %","0,65 %","0,65 %","0,65 %","0,00 %","0,00 %","5,92 %","0,00 %"
541770,H¯edle,464,276,275,"9,09 %","0,00 %","0,00 %","9,45 %","0,00 %","6,18 %","16,36 %","1,45 %","0,36 %","0,36 %","0,00 %","0,00 %","6,90 %","0,00 %","0,00 %","1,81 %","35,63 %","0,00 %","0,36 %","1,09 %","0,00 %","0,72 %","0,72 %","0,36 %","9,09 %","0,00 %"
565334,Hvozd,133,77,75,"1,33 %","0,00 %","0,00 %","6,66 %","0,00 %","5,33 %","28,00 %","0,00 %","0,00 %","1,33 %","0,00 %","0,00 %","6,66 %","0,00 %","0,00 %","6,66 %","34,66 %","0,00 %","0,00 %","1,33 %","0,00 %","1,33 %","1,33 %","0,00 %","5,33 %","0,00 %"
541818,Chr·öùany,532,306,304,"7,23 %","0,00 %","0,00 %","8,22 %","0,00 %","5,92 %","10,19 %","0,32 %","0,32 %","0,98 %","0,00 %","0,00 %","8,22 %","0,65 %","0,65 %","3,94 %","38,81 %","0,00 %","0,32 %","0,98 %","0,00 %","0,00 %","0,00 %","0,65 %","12,50 %","0,00 %"
565270,Janov,109,87,87,"16,09 %","0,00 %","0,00 %","2,29 %","0,00 %","10,34 %","10,34 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","9,19 %","0,00 %","0,00 %","0,00 %","27,58 %","0,00 %","0,00 %","1,14 %","0,00 %","1,14 %","0,00 %","0,00 %","20,68 %","1,14 %"
541834,Jesenice,1 321,723,722,"8,31 %","0,13 %","0,27 %","9,69 %","0,13 %","6,09 %","12,04 %","1,52 %","0,55 %","0,41 %","0,27 %","0,00 %","6,78 %","0,13 %","0,00 %","4,98 %","32,13 %","0,00 %","0,27 %","1,52 %","0,00 %","0,41 %","0,13 %","0,00 %","13,57 %","0,55 %"
565440,Kalivody,81,53,53,"15,09 %","0,00 %","0,00 %","11,32 %","0,00 %","13,20 %","7,54 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,77 %","0,00 %","0,00 %","3,77 %","35,84 %","0,00 %","0,00 %","1,88 %","0,00 %","0,00 %","0,00 %","0,00 %","7,54 %","0,00 %"
565288,Karlova Ves,102,78,77,"6,49 %","0,00 %","0,00 %","5,19 %","0,00 %","15,58 %","23,37 %","1,29 %","1,29 %","0,00 %","0,00 %","0,00 %","12,98 %","0,00 %","0,00 %","0,00 %","24,67 %","0,00 %","0,00 %","1,29 %","0,00 %","0,00 %","0,00 %","0,00 %","7,79 %","0,00 %"
541877,KnÏûeves,800,447,445,"9,43 %","0,00 %","0,00 %","9,88 %","0,00 %","2,92 %","9,43 %","2,02 %","1,57 %","0,44 %","0,00 %","0,00 %","4,94 %","0,44 %","0,00 %","2,02 %","37,97 %","0,00 %","0,22 %","1,79 %","0,00 %","1,12 %","0,67 %","0,22 %","14,60 %","0,22 %"
565199,Koleöov,111,55,52,"7,69 %","0,00 %","0,00 %","3,84 %","0,00 %","0,00 %","7,69 %","1,92 %","0,00 %","0,00 %","0,00 %","0,00 %","3,84 %","0,00 %","0,00 %","1,92 %","61,53 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,53 %","0,00 %"
541893,Koleöovice,686,383,381,"6,29 %","0,00 %","0,00 %","11,81 %","0,00 %","4,72 %","11,81 %","0,00 %","1,31 %","0,00 %","0,00 %","0,00 %","5,77 %","0,00 %","0,00 %","6,03 %","35,95 %","0,00 %","0,52 %","2,36 %","0,26 %","1,04 %","0,78 %","0,52 %","10,49 %","0,26 %"
541907,Kounov,410,191,189,"7,40 %","0,00 %","0,00 %","10,58 %","0,00 %","1,05 %","21,16 %","0,00 %","0,00 %","0,52 %","0,00 %","0,00 %","11,11 %","0,00 %","0,00 %","2,64 %","34,39 %","0,00 %","0,00 %","1,05 %","1,05 %","0,00 %","0,00 %","0,00 %","8,99 %","0,00 %"
565385,Kozojedy,74,61,61,"9,83 %","0,00 %","0,00 %","3,27 %","0,00 %","13,11 %","14,75 %","0,00 %","0,00 %","1,63 %","0,00 %","0,00 %","4,91 %","0,00 %","0,00 %","8,19 %","39,34 %","0,00 %","0,00 %","3,27 %","0,00 %","0,00 %","0,00 %","0,00 %","1,63 %","0,00 %"
565351,Krakov,101,71,71,"9,85 %","0,00 %","0,00 %","28,16 %","0,00 %","1,40 %","7,04 %","2,81 %","2,81 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,81 %","26,76 %","0,00 %","0,00 %","5,63 %","0,00 %","0,00 %","0,00 %","0,00 %","12,67 %","0,00 %"
565369,Krakovec,56,33,33,"18,18 %","0,00 %","0,00 %","12,12 %","0,00 %","3,03 %","9,09 %","0,00 %","0,00 %","6,06 %","0,00 %","0,00 %","3,03 %","0,00 %","0,00 %","6,06 %","33,33 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,06 %","3,03 %"
